1,Coldplay,rock,china,india,united states,indonesia,brazil,pakistan,nigeria,bangladesh,russia,japan,mexico,ethiopia,philippines,egypt,vietnam,germany,iran,turkey,thailand,france
2,Adele,soul,"china;india;united states;indonesia;brazil;pakistan;nigeria;bangladesh;russia;ethiopia;philippines;egypt,vietnam;germany,iran;turkey,thailand;france;",,,,,,,,,,,,,,,,,,,
3,Rihanna,pop,"china;india;united states;indonesia;brazil;pakistan;nigeria;bangladesh;mexico,ethiopia;philippines;egypt,vietnam;germany,iran;turkey,thailand;france;",,,,,,,,,,,,,,,,,,,
4,Maroon 5,rock,"china;india;indonesia;brazil;pakistan;nigeria;bangladesh;japan,mexico,ethiopia;philippines;egypt,vietnam;iran;turkey,thailand;",,,,,,,,,,,,,,,,,,,
5,Ed Sheeran,acoustic,"china;india;indonesia;brazil;pakistan;nigeria;bangladesh;ethiopia;philippines;egypt,vietnam;germany,iran;turkey,thailand;france;",,,,,,,,,,,,,,,,,,,
6,Lana Del Rey,indie,"china;india;united states;brazil;pakistan;bangladesh;russia;egypt,vietnam;germany,iran;turkey,thailand;france;",,,,,,,,,,,,,,,,,,,
7,Sia,pop,"china;india;united states;indonesia;brazil;pakistan;nigeria;bangladesh;russia;mexico,ethiopia;philippines;egypt,vietnam;germany,iran;turkey,thailand;france;",,,,,,,,,,,,,,,,,,,
8,Taylor Swift,country,china,indonesia,pakistan,philippines,vietnam,thailand,,,,,,,,,,,,,,
9,The Weeknd,rnb,"china;india;united states;indonesia;brazil;pakistan;nigeria;bangladesh;mexico,ethiopia;philippines;egypt,vietnam;germany,iran;turkey,thailand;france;",,,,,,,,,,,,,,,,,,,
10,Radiohead,alternative,"china;india;united states;indonesia;brazil;pakistan;bangladesh;russia;japan,mexico,ethiopia;philippines;egypt,vietnam;germany,iran;turkey,thailand;france;",,,,,,,,,,,,,,,,,,,
11,Lady Gaga,pop,china,brazil,philippines,vietnam,thailand,,,,,,,,,,,,,,,
12,Drake,hip-hop,"china;india;united states;indonesia;brazil;pakistan;nigeria;bangladesh;mexico,philippines;egypt,vietnam;germany,iran;turkey,thailand;france;",,,,,,,,,,,,,,,,,,,
13,Calvin Harris,electronic,"china;india;united states;indonesia;brazil;pakistan;nigeria;bangladesh;mexico,ethiopia;philippines;egypt,vietnam;germany,iran;turkey,thailand;france;",,,,,,,,,,,,,,,,,,,
14,Imagine Dragons,indie,"china;india;indonesia;brazil;pakistan;nigeria;bangladesh;russia;ethiopia;philippines;egypt,vietnam;germany,turkey,thailand;france;",,,,,,,,,,,,,,,,,,,
15,周杰倫,c-pop,china,,,,,,,,,,,,,,,,,,,
16,Katy Perry,pop,"china;indonesia;brazil;pakistan;nigeria;philippines;egypt,vietnam;thailand;",,,,,,,,,,,,,,,,,,,
17,Ariana Grande,pop,china,indonesia,brazil,pakistan,nigeria,philippines,vietnam,thailand,,,,,,,,,,,,
18,王菲,c-pop,china,,,,,,,,,,,,,,,,,,,
19,Ellie Goulding,electronic,"china;india;indonesia;pakistan;bangladesh;philippines;egypt,vietnam;thailand;",,,,,,,,,,,,,,,,,,,
20,Beyoncé,rnb,china,united states,brazil,nigeria,philippines,vietnam,thailand,,,,,,,,,,,,,
21,Justin Bieber,pop,china,indonesia,brazil,pakistan,nigeria,ethiopia,philippines,vietnam,thailand,,,,,,,,,,,
