Adele,soul,Pearl Jam,grunge,1
Adele,soul,Twenty One Pilots,alternative,2
Adele,soul,Weezer,rock,1
Adele,soul,Beck,alternative,2
Adele,soul,Fleetwood Mac,classic rock,1
Adele,soul,Gorillaz,alternative,7
Adele,soul,Tame Impala,psychedelic rock,4
Adele,soul,Childish Gambino,hip-hop,1
Rihanna,pop,Coldplay,rock,17
Rihanna,pop,Adele,soul,16
Rihanna,pop,Maroon 5,rock,14
Rihanna,pop,Ed Sheeran,acoustic,15
Rihanna,pop,Lana Del Rey,indie,12
Rihanna,pop,Sia,pop,17
Rihanna,pop,Taylor Swift,country,5
Rihanna,pop,The Weeknd,rnb,17
Rihanna,pop,Radiohead,alternative,16
Rihanna,pop,Lady Gaga,pop,4
Rihanna,pop,Drake,hip-hop,16
Rihanna,pop,Calvin Harris,electronic,17
Rihanna,pop,Imagine Dragons,indie,14
Rihanna,pop,Katy Perry,pop,8
Rihanna,pop,Ariana Grande,pop,7
Rihanna,pop,Ellie Goulding,electronic,8
Rihanna,pop,Beyoncé,rnb,6
Rihanna,pop,Justin Bieber,pop,8
Rihanna,pop,Sam Smith,soul,6
Rihanna,pop,David Bowie,rock,13
Rihanna,pop,Bruno Mars,pop,7
Rihanna,pop,OneRepublic,rock,9
Rihanna,pop,Eminem,rap,11
Rihanna,pop,Justin Timberlake,pop,11
Rihanna,pop,Lorde,pop,6
Rihanna,pop,The Chainsmokers,electronic,9
Rihanna,pop,The Beatles,classic rock,16
Rihanna,pop,The xx,indie,11
Rihanna,pop,Mariah Carey,pop,2
Rihanna,pop,Britney Spears,pop,2
Rihanna,pop,Michael Jackson,pop,15
Rihanna,pop,Kanye West,hip-hop,6
Rihanna,pop,Florence + the Machine,indie,5
Rihanna,pop,Carly Rae Jepsen,pop,1
Rihanna,pop,Linkin Park,rock,10
Rihanna,pop,David Guetta,electronic,12
Rihanna,pop,Bob Dylan,folk,7
Rihanna,pop,Selena Gomez,pop,4
Rihanna,pop,Miley Cyrus,pop,1
Rihanna,pop,Charlie Puth,pop,4
Rihanna,pop,Avicii,electronic,8
Rihanna,pop,Shawn Mendes,pop,2
Rihanna,pop,Daft Punk,electronic,13
Rihanna,pop,Kendrick Lamar,hip-hop,5
Rihanna,pop,Major Lazer,electronic,13
Rihanna,pop,Pink Floyd,classic rock,10
Rihanna,pop,Led Zeppelin,classic rock,10
Rihanna,pop,Red Hot Chili Peppers,rock,12
Rihanna,pop,Queen,classic rock,14
Rihanna,pop,Metallica,metal,7
Rihanna,pop,Nirvana,grunge,10
Rihanna,pop,U2,rock,5
Rihanna,pop,Guns N' Roses,hard rock,4
Rihanna,pop,Green Day,punk rock,4
Rihanna,pop,The Rolling Stones,classic rock,9
Rihanna,pop,Arctic Monkeys,indie rock,9
Rihanna,pop,AC/DC,hard rock,2
Rihanna,pop,John Mayer,acoustic,4
Rihanna,pop,Foo Fighters,rock,5
Rihanna,pop,Hans Zimmer,instrumental,2
Rihanna,pop,The Doors,classic rock,3
Rihanna,pop,Oasis,rock,9
Rihanna,pop,Pearl Jam,grunge,1
Rihanna,pop,Twenty One Pilots,alternative,1
Rihanna,pop,Weezer,rock,1
Rihanna,pop,Beck,alternative,3
Rihanna,pop,Fleetwood Mac,classic rock,1
Rihanna,pop,Gorillaz,alternative,7
Rihanna,pop,Tame Impala,psychedelic rock,5
Rihanna,pop,Childish Gambino,hip-hop,1
Maroon 5,rock,Coldplay,rock,15
Maroon 5,rock,Adele,soul,13
Maroon 5,rock,Rihanna,pop,14
Maroon 5,rock,Ed Sheeran,acoustic,13
Maroon 5,rock,Lana Del Rey,indie,9
Maroon 5,rock,Sia,pop,14
Maroon 5,rock,Taylor Swift,country,5
Maroon 5,rock,The Weeknd,rnb,14
Maroon 5,rock,Radiohead,alternative,14
Maroon 5,rock,Lady Gaga,pop,4
Maroon 5,rock,Drake,hip-hop,13
Maroon 5,rock,Calvin Harris,electronic,14
Maroon 5,rock,Imagine Dragons,indie,12
Maroon 5,rock,Katy Perry,pop,8
Maroon 5,rock,Ariana Grande,pop,7
Maroon 5,rock,Ellie Goulding,electronic,8
Maroon 5,rock,Beyoncé,rnb,5
Maroon 5,rock,Justin Bieber,pop,8
Maroon 5,rock,Sam Smith,soul,6
Maroon 5,rock,David Bowie,rock,11
Maroon 5,rock,Bruno Mars,pop,7
Maroon 5,rock,OneRepublic,rock,9
Maroon 5,rock,Eminem,rap,8
Maroon 5,rock,Justin Timberlake,pop,10
Maroon 5,rock,Lorde,pop,5
Maroon 5,rock,The Chainsmokers,electronic,9
Maroon 5,rock,The Beatles,classic rock,14
Maroon 5,rock,The xx,indie,8
Maroon 5,rock,Mariah Carey,pop,2
Maroon 5,rock,Britney Spears,pop,2
Maroon 5,rock,Michael Jackson,pop,13
Maroon 5,rock,Kanye West,hip-hop,4
Maroon 5,rock,Florence + the Machine,indie,4
Maroon 5,rock,Carly Rae Jepsen,pop,1
Maroon 5,rock,Linkin Park,rock,10
Maroon 5,rock,David Guetta,electronic,10
Maroon 5,rock,Bob Dylan,folk,5
Maroon 5,rock,Selena Gomez,pop,4
Maroon 5,rock,Miley Cyrus,pop,1
Maroon 5,rock,Charlie Puth,pop,4
Maroon 5,rock,Avicii,electronic,7
Maroon 5,rock,Shawn Mendes,pop,2
Maroon 5,rock,Daft Punk,electronic,11
Maroon 5,rock,Kendrick Lamar,hip-hop,4
Maroon 5,rock,Major Lazer,electronic,10
Maroon 5,rock,Pink Floyd,classic rock,7
Maroon 5,rock,Led Zeppelin,classic rock,8
Maroon 5,rock,Red Hot Chili Peppers,rock,10
Maroon 5,rock,Queen,classic rock,12
Maroon 5,rock,Metallica,metal,6
Maroon 5,rock,Nirvana,grunge,8
Maroon 5,rock,U2,rock,4
Maroon 5,rock,Guns N' Roses,hard rock,4
Maroon 5,rock,Green Day,punk rock,3
Maroon 5,rock,The Rolling Stones,classic rock,7
Maroon 5,rock,Arctic Monkeys,indie rock,8
Maroon 5,rock,AC/DC,hard rock,2
Maroon 5,rock,John Mayer,acoustic,4
Maroon 5,rock,Foo Fighters,rock,4
Maroon 5,rock,Hans Zimmer,instrumental,2
Maroon 5,rock,The Doors,classic rock,3
Maroon 5,rock,Oasis,rock,8
Maroon 5,rock,Pearl Jam,grunge,1
Maroon 5,rock,Twenty One Pilots,alternative,1
Maroon 5,rock,Beck,alternative,2
Maroon 5,rock,Gorillaz,alternative,4
Maroon 5,rock,Tame Impala,psychedelic rock,3
Maroon 5,rock,Modest Mouse,indie,-1
Maroon 5,rock,Sufjan Stevens,indie,-1
Ed Sheeran,acoustic,Coldplay,rock,15
Ed Sheeran,acoustic,Adele,soul,15
Ed Sheeran,acoustic,Rihanna,pop,15
Ed Sheeran,acoustic,Maroon 5,rock,13
Ed Sheeran,acoustic,Lana Del Rey,indie,11
Ed Sheeran,acoustic,Sia,pop,15
Ed Sheeran,acoustic,Taylor Swift,country,5
Ed Sheeran,acoustic,The Weeknd,rnb,15
Ed Sheeran,acoustic,Radiohead,alternative,14
Ed Sheeran,acoustic,Lady Gaga,pop,4
Ed Sheeran,acoustic,Drake,hip-hop,14
Ed Sheeran,acoustic,Calvin Harris,electronic,15
Ed Sheeran,acoustic,Imagine Dragons,indie,14
Ed Sheeran,acoustic,Katy Perry,pop,8
Ed Sheeran,acoustic,Ariana Grande,pop,7
Ed Sheeran,acoustic,Ellie Goulding,electronic,8
Ed Sheeran,acoustic,Beyoncé,rnb,5
Ed Sheeran,acoustic,Justin Bieber,pop,8
Ed Sheeran,acoustic,Sam Smith,soul,6
Ed Sheeran,acoustic,David Bowie,rock,11
Ed Sheeran,acoustic,Bruno Mars,pop,7
Ed Sheeran,acoustic,OneRepublic,rock,9
Ed Sheeran,acoustic,Eminem,rap,10
